ID	howmany_MW	howmany_QW	howmany_SW	freq_MW	freq_QW	freq_SW	type_personality	classy_MW	classy_QW	classy_SW	status_MW	status_QW	status_SW	soph_MW	soph_QW	soph_SW	evergr_MW	evergr_QW	evergr_SW	desire_MW	desire_QW	desire_SW	fun_MW	fun_QW	fun_SW	superf_MW	superf_QW	superf_SW	gratif_MW	gratif_QW	gratif_SW	exc_MW	exc_QW	exc_SW	trendy_MW	trendy_QW	trendy_SW	sporty_MW	sporty_QW	sporty_SW	imp_design_MW	imp_design_QW	imp_design_SW	imp_reliab_MW	imp_reliab_QW	imp_reliab_SW	imp_funct_MW	imp_funct_QW	imp_funct_SW	imp_read_MW	imp_read_QW	imp_read_SW	imp_imperm_MW	imp_imperm_QW	imp_imperm_SW	imp_brand_MW	imp_brand_QW	imp_brand_SW	imp_mater_MW	imp_mater_QW	imp_mater_SW	imp_price_MW	imp_price_QW	imp_price_SW	type_job	type_freetime	type_sport	type_holidays	type_formal	sport	outdoor	reading	TV	internet	social	content_digita	relax	museums	cooking	videogames	hobbies	convivials	MW_gift	MW_bought	MW_inherit	QW_gift	QW_bought	QW_inherit	SW_gift	SW_bought	SW_inherit	large_city	car_moto	foot	bike	public transport	Year_born	Job	Gender	Education	Income	willtobuy_MW	willtobuy_QW	willtobuy_SW
178	4	2	1	90	5	5	0	7	5	3	7	1	5	7	3	7	7	4	2	7	2	4	2	4	6	7	7	7	7	2	4	7	3	4	4	2	5	7	7	7	7	7	7	7	7	7	2	3	5	7	7	7	7	2	5	7	3	7	7	3	7	7	7	7	0	0	2	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	2	1		2		1			1	1				1976	2	1	3	4	1	0	0
179	8	0	0	100			0	1			1			3			1			1			2			1			6			7			5			7																											0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1		10																				
180	5	8	0	98	2		0	2	2	1	3	1	1	5	1	1	7	1	1	7	2	1		2	1		3	1		2	1	6	1	2	5	2	1	5	7	1	7	7	1	6	6	1	5	2	1	7	7	1	5	7	1	6	3	1	7	3	1	4	7	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	4	4					2	1				1961	3	1	3	4	0	0	0
181	1	1	0	100	0	0	0	4	3	1	3	2	3	4	1	1	3	4	1	3	1	2	1	1	2	6	6	6	3	1	1	1	1	1	2	2	2	2	2	3	4	2	2	4	4	4	4	4	4	4	4	4	5	5	5	4	4	4	4	4	4	4	4	4	0	0	3	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1		1			1					1	1				1972	2	1	1	0	1	0	0
182	4	1	0																																																																																																					
183	8	0	0	100	0	0	0	7			6			4			4			7			3			1			7			7			4			5			5			4			5			4			7			7			5			7			0	0	3	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1		8								2	1				1973	2	1	1	3	1	0	0
184	6	3	0	100	0	0	0	7	1	1	7	1	7	7	5	7	7	4	2	7	2	7	4	4	6	7	7	7	7	7	7	5	5	7	5	5	7	7	7	7	7	7	7	7	7	6	5	5	7	6	6	7	3	3	5	7	1	7	5	5	1	7	7	3	0	0	3	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1		3	3	3						0	1	1		1	1982	3	1	2	2	1	0	0
185	10	1	0	100	0	0	0	7	7	1	7	2	4	7	3	6	7	2	1	7	2	1	1	1	4	4	4	4	7	1	1	7	1	1	7	1	4	7	7	7	7	6	4	7	7	7	6	6	6	7	7	7	7	7	2	7	7	7	5	5	1	4	4	4	0	0	3	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1		2	8			1				1	1				1982	2	1	3	1	1	0	0
186	1	2	1	60	20	20	0																																																																																																	
187	4	1	0	80	20		0	7	5	1	7	3	6	5	3	5				7	5	7	5	3	7				7	2	5	7	4	3	6	3	7	7	3	7	7	4	4	7	7	5	5	4	6	7	6	6	7	3	4	6	5	4	7	6	4	4	4	4	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	1	1		4			1					0	1				1988	3	1	1	1	1	0	0
188	150	20	0	99	1	0	0	7	5	3	7	1	5	5	5	5	7	3	1	7	3	1	5	5	4	7	7	7	7	2	4	7	3	4	5	2	7	7	7	1	5	5	1	6	6	1	5	5	1	1	1	1	5	5	1	5	5	1	5	5	1	3	3	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	3	10	3																			
189	8	3	0	90	10	0	0	7	7	1	7	3	6	7	3	1	7	6	1	7	3	1	6	4	1	7	7	7	7	2	1	7	2	1	3	3	6	7	7	4	7	6	1	7	7	1	6	6	1	5	5	1	7	3	1	5	1	1	7	2	1	7	7	1	3	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	2	6		2						1	1				1990	2	1	1		1	1	0
190	8	0	0	100	0	0	0																																																																																																	
191	0	7	0	0	100	0	1								7						5			7															7			7			7			3			7			3			3			4			5		1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	1					7					0	1		1		1963	2	1	1	1	0	1	0
192	5	0	0	100	0	0	0	6	2	1	6	1	5	6	1	4	7	3	1	7	1	6	4	5	7	6	2	1	7	2	6	7	1	2	4	3	6	5	5	5	7	7	7	4	7	6	6	6	7	5	5	6	4	6	5	7	5	7	7	5	6	4	6	6	0	0	3	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1		1	4							0	1				1992	1	1	1	4	1	0	1
193	3	0	0	100			0	7	5	1	7	3	5	7	3	1	7	5	1	7	3	5	5	5	5	4	4	5	7	5	3	7	5	2	4	4	6	7	7	4	7	5	3	7	7	4	5	5	7	6	6	6	7	7	4	5	5	5	6	6	3	5	5	5	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1		3								0	1	1			1985	3	1	3	2	1	0	0
194	11	0	1	80	0	20	0	7	1	1	7	1	4	7	1	5	7	1	2	7	1	4	4	3	5	7	7	7	7	3	4	7	1	3	7	1	7	7	4	7	7	1	7	7	1	7	7	1	7	7	1	7	7	1	7	7	1	5	7	1	4	7	1	7	0	0	2	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	10	1	1	1	1	1	5	1	0	1				1990	2	1	1	2	1	0	0
195	11	0	1																																																																																																					
196	8	6	0	80	20		0	7	5	1	7	3	7	7	3	2	6	4	1	6	6	5	6	6	6	7	7	7	7	4	2	7	4	3	5	4	6	6	6	6	7	7	7	6	7	5	7	6	7	7	7	3	4	6	4	7	7	3	7	7	1	7	7	7	0	1	3	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1		10		4	4					0	1	1			1981	3	1	2	1	1	1	0
197	1	1	0	100	0	0	0	7	2	1	5	2	7	7	2	2	7	1	1	7	2	3	3	4	4	2	2	6	7	3	1	7	2	1	5	5	5	5	5	5	7	7	3	7	7	4	5	6	3	6	6	3	4	4	2	5	5	3	5	5	3	6	3	2	0	0	3	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1		1				1				1	1				1984	2	1	3	2	1	0	0
198	25	5	0	95	5	0	0																																																																																																	
199	2	4	0	90	10	0	0																																																																																																	
200	15	3	0	80	20		0	6	4	1	5	3	7	7	4	4	7	6	2	7	5	7	6	4	7	5	3	7	7	7	7	6	3	7	4	3	7	1	6	5	5	5	7	7	7	7	7	7	7	5	6	6	5	7	6	7	7	6	7	4	7	7	4	5	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	10	2	1	2					0	1				1977	3	1	3	2	1	0	0
201	7	5	1	90	1	9	0	4	4	3	1	1	2	7	1	4	7	3	1	7	3	2	1	1	4	7	7	7	7	4	2	7	3	1	2	2	4	4	4	4	6	6	6	7	7	5	4	4	6	5	5	5	6	6	6	4	4	4	6	6	6	2	2	2	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1		3	3		5			1		2			1	1	1967	0	1	3	3	1	1	1
202	0	0	0	0	0	100	1	1			1				1						1				1			1				1				1				1	1				1				1		1		1				1				1		1		3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0				1																		
203	20	40	2	60	20	20	0	7					7	7			7					7			5			5	7			7			7		6		7		7						7						7			7						7			2	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1		10			10		1			2	1				1981	3	1	4	3	1	1	0
204	3	1	0	100			0																																																																																																	
205	25	22	0	80	20		0	7	1		3	1		7	6		3	3		4	5		1	7		1	2		6	6		6	4		1	4		5	7		4	7		5	7			7		7	7		7	7		2	2		6	6		4	5		0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0		10	1		10					0	1		1		1964	4	1	1	1	1	1	0
206	5	1	0	90	10	0	0	7			4																																																						0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1																				
207	2	2	0	90	10	0	0	7	4	1	7	1	3	7	3	5	7	5	1	7	2	1	6	4	4	4	4	4	7	2	1	7	3	2	7	5	3	3	5	6																																																																
208	3	3	0	80	20	0	0																																																																																																	
209	6	11	1	70	20	10	0	5	2	1	7	2	1	5	5	5	7	5	3	7	3	3	1	4	4	7	5	4	7	5	4	7	4	4	5	4	6	5	6	7	6	7	6	7	7	6	5	7	6	5	7	6	5	5	4	7	5	6	6	5	5	3	3	5	0	2	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1		6			10			1		2	1				1969	3	1	3	2	1	1	0
210	30	3	0	100	0	0	0	7	5	1	7	1	7	5	1	1	4	2	1	7	1	1	5	5	1	7	7	7	7	1	1	7	1	1	5	1	7	5	5	3	5	1	1	5	1	1	7	1	1	3	1	1	5	1	1	7	1	1	7	1	1	4	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	10	2	1	2					2	1				1960	2	1	1	2	1	0	0
211	3	0	0	100	0	0	0	7	3	1	1	7	7	7	7	1	7	7	1	7	5	1	4	4	6	4	4	4	7	5	1	7	5	1	4	6	5	4	7	1	7	7	4	5	7	7	4	6	7	7	7	7	7	7	7	3	3	3	7	7	7	7	7	7	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0		3								0	1				1993	1	1	1	0	0	0	0
212	3	0	0	100	0	0	0	4	1	1	7	1	5	5	4	4	6	2	2	7	7	7	3	5	5	7	7	7	5	5	5	5	5	5	4	4	6	5	6	6	5	7	7	6	7	6	2	4	6	6	5	4	5	6	7	7	2	5	4	3	2	7	3	4	0	0	3	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1		3								1	1				1981	3	1	4	4	1	0	0
213	4	1	0	100	0	0	0	7	5	2	7	3	6	7	1	5	7	5	3	7	2	5	4	4	6	5	5	4	7	1	3	7	1	4	7	4	7	5	5	6	7	1	5	7	5	5	5	1	7	6	1	5	6	1	1	7	1	2	6	1	1	6	1	5	0	0	3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1		2	2	1						0	1				1987	2	1	2	1	1	0	0
214	9	1	0	95	5	0	0	1	1		1	1		1	1		7	3		1	1		1	1		1	1		1	1		7	7		2	5		1	1		7	7		7	7		1	1		7	7		7	7		1	1		4	4		1	1		0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	6	2		1					0				1	1970	0	1	4	4	0	0	0
215	5	8	0	50	50		0	7	5	2	6	3	1	6	3	1	7	6	1	7	5	2	5	5	2	7	7	7	7	5	1	7	5	1	6	6	5	6	6	7	6	6	6	5	7	6	7	6	7	6	6	6	6	7	1	7	6	2	7	6	3	7	5	4	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	2	3		3	5					0	1				1985	5	1	2	4	1	1	1
216	1	1	0	90	10	0	0	6	4	2	7	4	5	7	4	5	7	5	3	3	1	7	2	2	5	7	7	7	7	4	4	4	1	3	1	2	6	5	3	1	7	7	7	7	7	7	4	2	7	5	6	7	7	3	3	7	5	4	7	7	1	7	4	4	0	1	3	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1			1						0	1	1		1	1998	1	1	1	0	1	0	0
217	2	0	1	100	0	0	0	7	3	1	7	1	6	7	2	5	7	2	1	7	2	6	2	2	7	1	6	4	6	2	4	6	2	4	7	1	7	5	2	4	4	2	6	4	2	6	4	2	7	6	6	5	2	3	5	7	4	5	2	2	2	4	2	6	0	0	0	3	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1						1		2	1				1981	2	1	1	4	1	0	0
218	2	4	0	90	10		0																																																																																																	
219	3	2	0	93	7		0	6	4	1	7	2	4	6	2	1	6	5	1	7	3	1	4	4	4	1	1	7	6	3	1	7	3	1	5	5	5	6	6	6	5	6	7	4	7	7	7	5	7	6	6	7	6	6	4	6	4	6				6	3	4	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1		2	1		1	1				0	1		1		1986	2	1	1	0	0	0	0
220	5	1	0	99	1		0	7	1	1																															7	4	1																						0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1		10								1	1				1973	2	1	0	4	1	0	0
221	2	2	0	60	40		0	4	2	2	3	1	1	5	2	3	5	5	2	7	3	3	3	3	3	4	4	4	7	5	3	7	5	3	6	5	4	4	4	1	7	7	7	7	7	7	2	2	7	6	6	7	6	6	6	5	5	5	7	7	2	3	6	6	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1		2			2					0	1				1978	3	1	1	2	1	0	0
222	13	2	0																																																																																																					
223	2	4	0	100			0	5			5			2			7			4			2			2			7			7			2			6			3			7			3			5			7			7			7			5			3	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1		2			4					0	1	1			1975	3	1	0	1	1	0	0
224	8	2	1	70	15	15	0	7	4	1	7	1	1	7	7	7	7	4	1	7																		7																											0	0	0	0	0																																			
225	6	1	0	100			0	7			7			7			7			7			7															7			7			7																					0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1		6			1					0	1				1974	2	1	1	3	1	0	0
226	9	0	0	100			0	7			5			5			5			6			3			2			5			7			5			4			5			5			5			6			5			7			5			5			0	0	3	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1		9								2	1				1991	3	1	3	2	1	0	0
227	50	5	0	99	1		0	5	3	3	6	1	1	4	2	3	7	5	1	7	6	1	1	1	3	4	4	4	7	7	4	7	7	1	3	3	4	5	5	1	7	7	5	7	7	5	1	1	7	4	4	5	5	4	2	7	7	1	7	5	1	4	4	4	0	0	3	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	4	10		2	2					0	1				1974	2	1	3	2	1	1	0
228	4	0	0	100			0	7	4	2	7	1	5	5	4	6	7	1	1	7	1	1	5	2	5	1	7	6	7	2	3	7	1	2	6	2	7	3	6	5	6	2	6	6	3	2	5	2	4	6	6	6	6	6	6	6	2	4	6	4	3	6	7	5	0	0	3	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1		4								2		1	1		1979	3	1	3	2	1	0	0
229	2	1	0	99	1	0	0	7	2	2	7	2	2	7	1	5	7	2	1	7	2	6	5	2	7	2	5	2	7	1	4	7	1	5	2	7	7	4	4	7	5	7	4	4	7	7	2	2	7	4	7	7	2	4	7	7	2	5	7	5	2	7	1	5	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1		2			1					1	1	1			1994	1	1	1	0	1	1	1
230	3	4	0	80	20	0	0	7	3	1	7	1	2	7	2	5	7	4	2	5	1	4	4	2	6	1	1	4	7	2	4	7	4	4	4	2	6	4	4	5	6	7	4	5	3	4	3	4	6	5	5	5	5	5	5	7	2	3	7	2	3	5	2	2	0	0	3	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	2	2					2	1				1975	3	1	1	2	1	1	0
231	22	2	0	100	0	0	0																																																										0	0	0	0	0																																			
232	4	0	0	100			0	7			7			7			7			7			7			1			7			7			7			7			7			7			7			7			7			7			7			7			0	0	3	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1		4																				
233	4	5	0	100	0	0	0	7	1	1	7	2	3	7	1	1	7	1	4	7	2	4	7	7	7	7	1	7	7	1	2	7	1	1	7	2	4	6	3	3							3	1	1																0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1		4			3	2				2		1		1	1983	2	1	3	2	1	0	0
234	10	10	0	85	15	0	0																																																																																																	
235	0	2	1	0	10	90	2	7	5	4	7	3	6	7	3	6	7	2	2	4	4	7	1	4	7	7	4	1	5	3	7	3	1	5	6	4	7	1	4	7	7	4	6	7	7	7	5	3	7	7	7	7	2	4	7	7	4	2	7	5	5	7	4	7	1	2	2	2	1	1	1	1	0	1	1	1	1	0	0	1	1	1				2				1		0	1			1	1999	1	1	0	0	0	1	1
236	1	2	0	0	100	0	1	7	6	4	7	7	7	7	5	7	6	6	7	5	5	7	3	7	7	4	1	3	4	7	7	5	5	7	7	5	7	4	7	7	7	7	7	7	7	7	4	4	4	6	7	7	2	7	2	7	5	7	6	5	7	6	7	6	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1			1	1					0	1		1		1960	3	0	3	1		1	1
237	2	5	0	5	95		0	6	4	7	7	2	6	5	5	5	7	3	2	7	5	2	2	4	6	2	3	5	6	3	3	6	3	2	6	3	4	6	5	3	7	7	7	7	5	4	2	2	2	5	5	5	7	5	5	6	3	6	4	4	4	6	4	4	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1			2	3	3					0	1		1		1960	3	1	1	2	1	1	0
