ID	howmany_MW	howmany_QW	howmany_SW	freq_MW	freq_QW	freq_SW	type_personality	classy_MW	classy_QW	classy_SW	status_MW	status_QW	status_SW	soph_MW	soph_QW	soph_SW	evergr_MW	evergr_QW	evergr_SW	desire_MW	desire_QW	desire_SW	fun_MW	fun_QW	fun_SW	superf_MW	superf_QW	superf_SW	gratif_MW	gratif_QW	gratif_SW	exc_MW	exc_QW	exc_SW	trendy_MW	trendy_QW	trendy_SW	sporty_MW	sporty_QW	sporty_SW	imp_design_MW	imp_design_QW	imp_design_SW	imp_reliab_MW	imp_reliab_QW	imp_reliab_SW	imp_funct_MW	imp_funct_QW	imp_funct_SW	imp_read_MW	imp_read_QW	imp_read_SW	imp_imperm_MW	imp_imperm_QW	imp_imperm_SW	imp_brand_MW	imp_brand_QW	imp_brand_SW	imp_mater_MW	imp_mater_QW	imp_mater_SW	imp_price_MW	imp_price_QW	imp_price_SW	type_job	type_freetime	type_sport	type_holidays	type_formal	sport	outdoor	reading	TV	internet	social	content_digita	relax	museums	cooking	videogames	hobbies	convivials	MW_gift	MW_bought	MW_inherit	QW_gift	QW_bought	QW_inherit	SW_gift	SW_bought	SW_inherit	large_city	car_moto	foot	bike	public transport	Year_born	Job	Gender	Education	Income	willtobuy_MW	willtobuy_QW	willtobuy_SW
125	6	0	1	20		80	2	7		3	5		7	7			7			7			2		6	1			5			7			2		7	5		6	7		7	7		7	2		7	2		7	6		5	7		5	7		5	7			2	2	2	2	0	1	1	0	1	1	1	1	1	0	0	0	1	1		5					1	1		2	1				1979	3	1	2	1	1	0	1
126	6	6	0	50	50	0	1	7	5	1	7	3	2	6	6	3	7	5	1	3	3	3	3	5	6	3	1	5	7	6	3	7	5	1	5	5	6	3	6	6	7	7	7	5	7	7	5	7	7	7	7	7	4	7	5	5	5	2	3	3	3	7	7	7	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	2	4			6					2	1			1	1975	3	1	3	1	1	1	0
127	50	4	1	95	3	2	0	7	1	1	7	2	1	7	2	1	7	3	1	7	2	2	5	2	5	7	2	2	7	4	3	7	4		7	4	2	7	6	7	7	6	6	6	6	6	6	6	7	6	6	6	3	7	7	6	6	7	6	6	7	7	7	7	0	0	2	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	2	10	3		4			1		2	1				1964	3	1	4	4	1	1	0
128	7	0	0	100	0	0	0	7	2	1	7	1	2	7	2	1	7	1	1	7	1	1	7	1	2	1	6	6	7	1	1	7	1	1	7	2	3	7	1	3	7	3	3	7	6	6	7	1	5	7	7	4	7	1	1	7	2	2	7	2	1	7	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	2	4	1							2	1				1970	2	1	4	4	1	0	0
129	5	0	0	100			0	7	1	1	7	1	4	7	3	1	7	7	1	7	5	3	4	6	7	6	3	6	7	2	2	7	1	3	4	4	7	4	4	7	7	3	1	5	7	5	7	3	4	6	6	7	7	4	1	5	3	3	7	7	3	7	3	2	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	2	3								2	1	1			1991	3	1	1	2	1	0	0
130	3	1	0	80	20		0	7	3	1	7	4	1	7	4	5	5	3	2	5	4	2	2	2	2	4	4	2	7	4	2	7	2	2	3	4	7	3	4	6	5	6	6	7	7	7	4	2	5	4	5	7	4	5	5	3	3	5	4	3	1	3	6	6	1	0	3	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1		1	2	1						1		1	1		1997	1	1	1	0	1	1	0
131	5	3	1	95	0	5	0																																																																																																	
132	1	3	1																																																																																																					
133	6	0	0	100			0	6			1			6	1																	6						6			5			5			6			4			1			3			4			1			0	0	3	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1		6								1	1				1952	3	1	3	3	1	0	0
134	30	20	1	80	5	15	0	7	1	1	7	1	5	7	1	5	7	4	1	6	1	5	1	7	7	3	3	3	7	2	5	7	1	5	7	3	7	7	7	7	7	7	7	7	7	7	5	1	7	7	7	7	7	7	7	5	1	3	5	1	1	7	7	7	0	0	2	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	2	10	8	10				1		0	1		1		1973	2	1	1	2	1	0	1
135	5	0	0	100	0	0	0	7	3	1	7	3	6	7	1	5	7	4	1	7	4	7	2	3	5	5	3	4	7	1	2	7	1	2	3	3	7	2	6	7	7	3	1	4	5	2	2	4	7	4	4	7	5	3	4	7	3	7	7	4	4	2	7	5	0	0	3	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	2	3								0			1		1998	1	1	1	0	1	0	0
136	6	0	0	100			0	4	2	1	4	1	5	4	4	5	4	2	1	4	1	1	4	6	6	4	6	1	4	2	2	4	2	2	4	4	2	4	4	2	6	6	6	2	6	6	2	6	6	6	6	6	6	6	6	5	6	6	4	2	2	6	7	6	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1		5	1							2	1	1	1		1970	3	1	2	2	1	0	0
137	5	3	0	90	10		0	7	5	1	7	1	7	7	7	7	7	6	1	6	4	5	4	4	7	1	1	1	7	3	4	6	3	5	7	2	5	7	7	7																																																																
138	14	6	0	99	1	0	0	7	1	2	4	1	7	4	1	7	7	4	4	7	1	5	4	1	7	1	1	1	7	1	5	7	1	1	4	2	7	5	7	7	7	1	7	7	7	7	4	4	7	4	4	7	4	4	7	6	4	7	6	5	7	7	7	7	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1		10			6					0	1				1976	3	1	1	1	1	0	0
139	3	1	0	50	50	0	0																																																																																																	
140	4	0	0	100	0	0	0																																																																																																	
141	121	62	0	75	25	0	0	4	4	1	3	2	7	5	6	7	7	2	1	5	4	1	1	1	4	7	7	7	7	4	2	7	4	1	3	1	7	1	2	7	5	4	7	4	5	7	7	7	7	2	2	7	1	2	7	5	4	1	6	5	1	4	3	7	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	3	10	6	2	10	1				1	1		1		1980	3	1	3	3	1	1	0
142	11	0	0	100			0																																																																																																	
143	2	1	0	80	20	0	0	7	4	1	6	4	1	7	3	3	7	7	2	7	4	1	7	4	5	1	1	6	7	5	1	7	3	1	6	5	5	7	7	6	5	7	7	7	3	1	7	3	1	7	7	3	6	6	6	5	5	1	7	5	4	6	6	4	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1		1						1	1				1989	3	1	3	2	1	0	0
144	7	1	0	100	0	0	0	7	3	1	7	2	3	7	1	3	4	4	2	6	2	4	5	2	6	4	4	4	6	2	2	6	1	3	7	1	5	5	4	4	5	4	5	6	1	2	4	4	4	4	4	4	4	4	4	6	1	3	5	2	4	6	6	6	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	6		1						0	1				1974	2	1	3	2	1	0	0
145	14	4	0	100			0	7	5	6	5	5	5	5	5	6	6	3	2	5	5	5	3	3	7	7	7	7	7	1	7	5	5	5	4	2	7	2	2	2																																																																
146	1	1	0	80	15	5	0	7	4	5	7	4	2	7	5	5	7	6	1	7	4	2	5	6	6	7	7	7	7	5	5	7	5	4	6	6	7	6	7	2	7	5	6	7	7	3	7	6	5	7	5	5	4	7	2	7	6	5	7	7	4	5	5	4	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1		1			1					1	1				1996	1	1	1	0	1	1	0
147	2	2	1	70	20	10	0	7	5	3	5	3	2	7	3	4	7	4	2	7	3	3	4	4	6	2	2	1	7	5	4	6	4	3	6	5	7	4	7	7																									0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	2				1		1		1	1		1996	1	1	1	0	1	1	0
148	3	2	0	100			0																																																																																																	
149	3	2	0	90	10	0	0	7	1	1	7	1	5	5	5	6	7	7	1	7	3	4	4	5	7	1	2	3	7	3	3	7	2	5	5	3	7	6	7	2	7	3	3	7	7	7	3	7	7	5	3	4	5	7	5	6	1	3	2	1	1	1	5	4	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1			2	1						1	1				1975	2	1	1	2	1	1	0
150	6	0	0	100			0	6	3	1	7	1	1	5	1	1	7	4	1	7	2	1	3	4	5	5	5	7	7	2	1	7	1	1	3	1	7	4	4	1	7	4	7	5	7	7	6	6	6	4	4	6	2	2	2	7	1	1	7	7	7	7	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		2	4							0	1				1994	1	1	1	0	1	0	0
